jobtitle,company,location,jobsnippet,salary,companyrating,href
"Senior Software DSP Engineer, C++, Cuda",Raytheon Missiles & Defense,"Marlborough, MA","Assist in developing architecture and design of high throughput/high performance computing platforms utilizing general purpose CPUs, FPGAs, and GPUs.",N/A,3.7 ,simplyhired.com/job/JRrhaoEqW_4P8SlX6aeP46hn7PN7tZlPL-z5Td9u8mqGuhv_q-TdWA
"Principal Software DSP Engineer- C++, Cuda",Raytheon Missiles & Defense,"Marlborough, MA","Assist in developing architecture and design of high throughput/high performance computing platforms utilizing general purpose CPUs, FPGAs, and GPUs.",N/A,3.7 ,simplyhired.com/job/3q-LInh89V8J0MuDgFB8a39h6AQOwnKxH02SAqLgO315giOhN8d8Sw
Senior Software Engineer - C2 Applications,Raytheon Missiles & Defense,"Fullerton, CA","Responsibilities include software design, software development, software debugging, integration and testing, and limited technical mentoring and oversight.",N/A,3.7 ,simplyhired.com/job/nQEvpJeamTZKo_QSTEQZe7hfldjd1ezLiENM2p0Qpr2EqP9F55T-UA
Associate Software Engineer Entry Level,CareerNet,"Atlanta, GA","Typical candidate will have 0-2 years of experience in software engineering, system administration, programming, and/or a related field.","Estimated: $75,000 - $150,000 a year",3.8 ,simplyhired.com/job/69t1wdl3A5XzvvOLvlxg-0-itJpc7UzgYbeabklVAosssv9NsUOQ7g
Senior Principal Software Engineer (Onsite),Raytheon Intelligence & Space,"Goleta, CA","Provide technical and functional support throughout the project lifecycle, including developing functional specification and technical design documents.",N/A,3.9 ,simplyhired.com/job/S_5zFCcGMyhGDHotuPzwZoVTaFmotSZup5k8lyh6STXKH9QOsuHzTg
Entry Level Site Reliability Engineer,SkillStorm,"Wilmington, DE","We are storming the marketplace with the highly skilled, experienced, and certified professionals that businesses need…",N/A,3.6 ,simplyhired.com/job/kHOZMdYPvq7kKcKBaFU9rnTI97G-qQCYMu2kXHT9mJ8Kz8oALsHBAw
Entry Level Instructional Designer / Software Trainer,CobbleStone Software,"Clementon, NJ","Support live clients, employees, partners, with trainings and answering technical questions on the software system; Comply with Corporate policies and handbook;","Estimated: $40,000 - $45,000 a year",4.3 ,simplyhired.com/job/3MCRjCxA2cUzNPKB-bQlrO9RI6X0Vu_zdWefsYPmND7GCU5RT4h0yA
"Software Engineer Front End & 3D Graphics, Entry Level",Allen Institute,"Seattle, WA","Experience with contemporary front end tools, frameworks, and libraries, such as React, Redux, three.js, npm. Actively participate in collaboration with design,…","Estimated: $85,871 - $120,220 a year",3.5 ,simplyhired.com/job/SmN0RMkuxWP1xFYRqrPrJdIbH5J8_DfyDjg1TPrv300Gk8HZX0Kj4Q
"Software Engineer, New Graduate",Candid Health,"New York, NY","You’ll interact closely with our current + prospective customers, developing intuition around their biggest pain points and thinking of creative ways to address…","Estimated: $120,000 - $135,000 a year",N/A,simplyhired.com/job/5VnUQIOX5B9u6JV_h1O7A8pTROzrA6WUVg5iRpAH77RofH-nJWBeuQ
Junior Software Engineer,Vibrant America,"San Carlos, CA",Collaborate with design and usability testing efforts to incorporate user feedback into application improvements. \* Interest in responsive web design.,"Estimated: $85,000 - $100,000 a year",N/A,simplyhired.com/job/UVrDpZkfn0Nsmm7GDtjm4IxjaZpjHOjZkYqKafJdDlANDVKjQQ31Vg
New Graduate Software Engineer,"Shoreline Software, Inc.","Redwood City, CA","Bachelor's degree in Computer Science, related technical field, or equivalent practical experience. Experience in computer science, data structures, algorithms…","Estimated: $120,000 - $170,000 a year",N/A,simplyhired.com/job/0uRQhgJoBkx7d361ph8eLlAFi9W8RRPfWFh4Nd4P1TrMIWlU3uV7Vw
Entry Level Software Developer,Reynolds and Reynolds,"Houston, TX","Our developers are responsible for reviewing specifications, providing technical designs, and coding and testing their own projects.",Estimated: $51.2K - $64.8K a year,3.2 ,simplyhired.com/job/dk_ydqf6w2rpfwTcaV5N8w4h-eyZrjvfAe-tifSAjdN04cIrQigkEA
Junior Software Developer (On-Site),Select Custom Solutions,"La Crosse, WI","Our state-of-the-art facility, robust ingredient supply network, rigorous quality guidelines, and innovative, forward-thinking mindset ensures we focus on each…","Estimated: $55,000 - $65,000 a year",3 ,simplyhired.com/job/cD64Qly0dv7vXudhXH9XNyAEm97rE4qJHchBhyjWOAH5z2ULqWHWow
"Software DSP Engineer II, C++, Cuda",Raytheon Missiles & Defense,"Marlborough, MA",Assist in developing architecture and design of high throughput/high performance computing platforms utilizing general purpose CPUs and GPUs.,N/A,3.7 ,simplyhired.com/job/NgIdeo9s_3SDWEKhrkaW4dRLOCbn3k0wJwMvhFkWpcEEEF4FCgwrVA
Entry- level SDET/Software Engineer,Flexon Technologies Inc,"Pleasanton, CA","Entry Level / Fresh Graduates / Engineers - BS / MS in Management, IS, Computer Science, IT, Engineering (any field). Job Types: Full-time, Contract.",Estimated: $64.8K - $82K a year,3 ,simplyhired.com/job/jzUyFIW2QzM-lQI2-17J5NTlhJ3HdSASEw-oH7V2e5FDQ9XEOiEssQ
Entry Level Software Engineer - Python,RFA Engineering,"Urbandale, IA",You will work with our experienced staff and our customer's staff using state of the art development tools and processes. Experience with C++ or Qt.,Estimated: $77.5K - $98.2K a year,4 ,simplyhired.com/job/a_M20gX6st-r8Vl7gdEpgfbLnKZ2Aba7YvfhLhATW33vOBBQt88x6Q
Entry Level Full Stack Developer,BeaconFire Solution,"East Windsor, NJ","Develop websites using HTML, CSS, Node.js, React.js, and Angular2+, among other tools. Invest time into professional development to stay up to date with new…","Estimated: $65,000 - $80,000 a year",4.8 ,simplyhired.com/job/_07w5WdUP5RYEfNt_rLtKEuAuMUHg_2vSEMxg2FTEe-MJIDnnMNDJA
Software Engineer- Entry Level,Incedo,"Florham Park, NJ","Our products need to manage information on a massive scale, so we're always looking for engineers who bring fresh ideas from all areas— distributed computing,…","Estimated: $55,000 a year",N/A,simplyhired.com/job/VFlT6qLXVYYL590gq_xQVHI-tseSJkwuKQY3uAUIMCly2uhRH2w27g
Software Developer - Entry Level,Urban League,"Fontana, CA","Architect, design and implement features/enhancements as needed by the business. You will be part of a self-organizing team where architecting, designing and…","Estimated: $125,000 - $145,000 a year",4.1 ,simplyhired.com/job/AvAwxPKLX41tL_drq3sytR2OVoN7PE7bA2kPqSs4w6tTdWEo-zQ-YA
Entry Level React Developer,"Antra, Inc",Remote,"In this role as React Developer, you should be passionate about developing solutions to achieve business needs and will be involved in all aspects of the…","Estimated: $65,000 - $120,000 a year",4.5 ,simplyhired.com/job/DOAeh4NgdO-vfYVzLOukOcy0tNcTXKb-c7Nm_Se6HuagtaO-ttRLdQ
Software Engineer I - Early in Career (2023 Bachelor's Degree),Raytheon Missiles & Defense,"Tewksbury, MA","Strong problem-solving and communication skills, including ability to produce technical documentation, and the desire to learn new technologies and tools.",N/A,3.7 ,simplyhired.com/job/NEUL_GK9qZ_KyDKialHN1yw_iJtF65harlPCtgxBZv8KRzKRoorb4g
Minimum $5K Sign-On Bonus** Software Engineer I - 2023 Bachelor's Degree,Raytheon Missiles & Defense,"Tucson, AZ","Our engineers design, develop, and build innovative solutions for the U.S. Government. Assist and participate in the requirements, design, development and…",N/A,3.7 ,simplyhired.com/job/1RjF4jdZM-8jfj1sp3xe8UjTOABzS0JapBRGpozkKTFNSwZGapGUwQ
"Senior Software DSP Engineer, C++, Cuda",Raytheon Missiles & Defense,"Marlborough, MA","Assist in developing architecture and design of high throughput/high performance computing platforms utilizing general purpose CPUs, FPGAs, and GPUs.",N/A,3.7 ,simplyhired.com/job/JRrhaoEqW_4P8SlX6aeP46hn7PN7tZlPL-z5Td9u8mqGuhv_q-TdWA
"Principal Software DSP Engineer- C++, Cuda",Raytheon Missiles & Defense,"Marlborough, MA","Assist in developing architecture and design of high throughput/high performance computing platforms utilizing general purpose CPUs, FPGAs, and GPUs.",N/A,3.7 ,simplyhired.com/job/3q-LInh89V8J0MuDgFB8a39h6AQOwnKxH02SAqLgO315giOhN8d8Sw
Senior Software Engineer - C2 Applications,Raytheon Missiles & Defense,"Fullerton, CA","Responsibilities include software design, software development, software debugging, integration and testing, and limited technical mentoring and oversight.",N/A,3.7 ,simplyhired.com/job/nQEvpJeamTZKo_QSTEQZe7hfldjd1ezLiENM2p0Qpr2EqP9F55T-UA
Aerospace Software Engineer,"Onyx Aerospace, Inc.","Kissimmee, FL","Bachelor's degree OR currently finishing a Bachelor's degree in software engineering, gaming, electrical engineering, mathematics, or a related discipline.","Estimated: $70,000 - $80,000 a year",N/A,simplyhired.com/job/BAx1JISo0c-ZUqmkI9bkzOUVNRaJNsTtR-KC2iArsB6nfKcyLUlSig
Principle Software Engineer - C++,Raytheon Missiles & Defense,"Saint Petersburg, FL","Strong problem-solving and communication skills, including ability to produce technical documentation, and the desire to learn new technologies and tools.",N/A,3.7 ,simplyhired.com/job/A1z72hI2q4R4Wq9xLy6-F7z92ueEi2YqOlhWFQ-UV4n3FfiD-g6X4g
Software Engineer II - C2 Applications,Raytheon Missiles & Defense,"Fullerton, CA","Typically requires Bachelor’s in in Computer Engineering, Computer Science, Software Engineering, Mathematics, Physics, Electrical Engineering, or other related…",N/A,3.7 ,simplyhired.com/job/MJMnYQ84TJYRwcN0BtUEbtZhg7CK-5-7LxY8WpnX_mdy7uSdi6spxw
Principal Software Integration Engineer,Raytheon Missiles & Defense,"Marlborough, MA","Typically requires Bachelor’s in Science, Technology, Engineering, or Mathematics and 5+ Typically requires a Bachelor’s degree in Computer Science, Computer…",N/A,3.7 ,simplyhired.com/job/D2iXZFLgjTLwenI77gwKJ9HuhBFvgmQTEOo_IkOSIzxV0N2cArKgdg
Junior Software Engineer,Argano,Remote,"Mountain State Software Solutions offers a comprehensive, three-phase training program designed to develop and engage incoming entry level professionals.",Estimated: $81.3K - $103K a year,N/A,simplyhired.com/job/UIXfSklaxeXRHAD87HQeVyBMKu4YAYRJOqdKC6SM7xqmGayvZvfp-g
Junior Software Engineer - Young Professionals Program,Itility US,"San Diego, CA","A bachelor's or master's degree in, for example, computer science, software engineering, or other technical studies in which programming is an important part of…","Estimated: $50,000 - $125,000 a year",N/A,simplyhired.com/job/uInkB2qb9BrTKQEu_bXDEzURne_2oJ5r4fioCnM6CKygSC3DY1iN2A
Jr. Python Developer,GATI Tech Inc,Remote,"Bachelor's degree in Computer Science, Software Engineering, or a related field. As an entry-level developer, you will have the opportunity to work on a variety…","Estimated: $63,576 a year",N/A,simplyhired.com/job/eB6_X8G6MMxWLxFHkinPUpe1dBfxhdPsyNIkvlRe-5QyzqkjoZyHGA
Entry Level UI Developer,I28 Technologies Corporation,"Kemp, TX","Version control tools (Gitlab, SVN). Front-End engineering experience with ReactJS. Writing test cases for UI components.","Estimated: $50,000 - $55,000 a year",3 ,simplyhired.com/job/CWgabUL4o1fYvt9lhPWRtQR1L-fktB0T3c525C_CtWJq4QJSyRR9bw
Entry Level Software Developer,BeaconFire Solution,"Princeton, NJ","Develop applications using Java 8/JEE (and higher), AngularJS, React.js, SQL, Spring, and HTML5, among other tools. Knowledge of JSP, J2EE, and JDBC.","Estimated: $60,000 - $80,000 a year",4.8 ,simplyhired.com/job/VbPaWXO5ZAFg_nVyoR4D3UgM1crKgZLlmYOIoomORr1JfMlSV8K2Rg
Software Engineer II,Raytheon Missiles & Defense,"Fullerton, CA","KEYWORDS: software engineering, java, c, c++, ada, vxworks, matlab, real-time, embedded, radar, linux, agile, scrum, object-oriented design, devops, devsecops,…",N/A,3.7 ,simplyhired.com/job/6MtmMVmhBrOW3iBbpZZdgQaTRIvo3WOR4MS828k5FJ7t7sJi5hoyEw
Software Engineer Full Stack,INTEL,"Hillsboro, OR","Uses modern software development methodologies and programming languages, follows secure coding practices and software legal compliance guidelines, analyzes…",N/A,4.1 ,simplyhired.com/job/kjZV8ZIEZdCyppl0Ykll1QlaYfL8MwQ42AKm8pmynzAZN-3foxm5mQ
ERP/API Programmer,"IMS, Inc.","Decatur, AL","This is a critical role that requires extensive knowledge of software development and API design. Document API design, functionality, and usage.",Estimated: $24 - $28 an hour,4 ,simplyhired.com/job/vvbl96GgckzkYubICAJMxEE_bjnHv2uEF9_mNLAzyKizkhE5tAxaHg
Entry Level Software Engineer,Neo Prism Solutions,"Dallas, TX","Training provided by highly qualified, industry-experienced & certified instructors. Free Training Online and In-Person both.","Estimated: From $80,000 a year",3.8 ,simplyhired.com/job/mzadvX96sXhFrij5t758J4HMVUKdmUhQ_x-_vJ4mf1tMWyQf-E4YgQ
Entry Level Front End (React or Angular) Developer,"Antra, Inc","Sterling, VA","In this role as React Developer, you should be passionate about developing solutions to achieve business needs and will be involved in all aspects of the…",Estimated: $40 - $45 an hour,4.5 ,simplyhired.com/job/W91kDGjVAZvRIYUk2fDOtT9lRLYARR4nTETrtTfdToyW0vz7WU4O5g
Junior Software Development Engineer,Kaseya Careers,"Miami, FL","Understanding of computer science fundamentals (e.g., algorithms, data structures, design patterns, networking, operating systems).",Estimated: $70.4K - $89.2K a year,3.8 ,simplyhired.com/job/GAlbdw5pOzl1Z9COYh9dShg4gdtD-wsSo5cBfVJKrtzITfPVZIqQSA
Entry Level Software Engineer (FT),United Systems and Software,"Lake Mary, FL","Work cohesively with the technical and development teams to develop modifications and new applications. Eventually, the right candidate will develop, modify,…","Estimated: $45,000 - $55,000 a year",N/A,simplyhired.com/job/Ys6iwiVNjmrMQayac_paUq-_c3d0SfmvFaSu5lF11MDzjtiJLvS2BA
Front End React Typescript Engineer (Entry Level),Appfigures,Remote,"A bachelor's degree in Computer Science or an equivalent degree. Build modular, reusable components that work across web, server, and native, with a focus on…",Estimated: $87K - $110K a year,3.5 ,simplyhired.com/job/lRafe2H_MHEaHckLvwreL-ma3BwTOxB1por3ggDsIB2OxqHDaPz_6w
Principle Embedded Software Engineer,Raytheon Missiles & Defense,"Tewksbury, MA","Typically requires a Bachelor’s degree in Computer Science, Computer Engineering, Electrical Engineering, Software Engineering, or related field.",N/A,3.7 ,simplyhired.com/job/_K2Xy9r3ooVaB5CDD0s3bqeosAXt8ZhAsevlQtU9-tg7g8pRymaGhw
Principal Software Engineer - C2 Applications,Raytheon Missiles & Defense,"Fullerton, CA","Responsibilities include product conceptualization and design, software development, software integration and certification, and technical mentoring of lower…",N/A,3.7 ,simplyhired.com/job/U46rx8Lo-RjQux_OUr7e6aED2qJJahZ8nG1VVlcN9_WojhfZIzKuTQ
Senior Software Engineer - DevOps,Raytheon Missiles & Defense,"Schriever AFB, CO","You will work on the maintenance and upkeep of Continuous Integration / Continuous Deployment (CI/CD), build tools, DevOps platform, and new / existing internal…",N/A,3.7 ,simplyhired.com/job/XrgJDoTv4r1ec3LDqTI2tRfq0IciOMEcXdB3z73uTFHV7lle6kMGNw
"Principal Software Engineer - Modeling, Simulation, & Analysis",Raytheon Missiles & Defense,"Marlborough, MA","The Principal Software Engineer - Modeling, Simulation, and Analysis will work within a multi-discipline team (e.g., signal processing, mechanical design,…",N/A,3.7 ,simplyhired.com/job/wg4L4r6IXV3_4v2dXZGtgAxt8lyl0sAMQOZ_43mjoHD-W6BHnNYqZA
Software Integration Engineer I,Raytheon Missiles & Defense,"Marlborough, MA","Typically requires a Bachelor’s degree in Computer Science, Computer Engineering, Electrical Engineering, Mathematics, Software Engineering, or related field…",N/A,3.7 ,simplyhired.com/job/v952t4n08OHCK4wJ2y37coPWRKqMD5ewvzkLqisBXKDiEFj0b5iOVQ
Entry Level Programmer,CE Showroom Inc.,"Rocklin, CA","Perform system analyses, design, implementation, and maintenance of computer software., Write detailed documentation of code or program specifications.",Estimated: $21 - $25 an hour,N/A,simplyhired.com/job/yageM-S3xTbiBlfho7U72e31VgH4s-Jj-WPedyopHym66V-gA9NVrw
Principal Software Engineer - REMOTE,Raytheon Missiles & Defense,"Fulton, MD","Typically requires a Bachelor’s in Science, Technology, Engineering, or Mathematics (STEM) and 8 years of relevant experience or an advanced degree in a related…",N/A,3.7 ,simplyhired.com/job/IQr1DCzmRk390eo6ga6jvbTqwqXWyGXdqrLn2kL-y9Pp7oP8wo4x_Q
Principal Embedded Software Engineer,Raytheon Missiles & Defense,"Tewksbury, MA","Typically requires a Bachelor’s degree in Computer Science, Computer Engineering, Electrical Engineering, Software Engineering, or related field and 8+ years of…",N/A,3.7 ,simplyhired.com/job/tNTcxlCdPSHbMBqFEKXcY_h0vc53-HJtWqe_8qqoybLzT0ytR8S-jg
Software Developer - Web/UI,Style Group,"Los Angeles, CA","In fields of healthcare, banking, and financial services, high-tech IT business, retail and e-commerce, insurance, entertainment, telecom and cable, pharmacy…","Estimated: $60,000 - $90,000 a year",3.7 ,simplyhired.com/job/ejx78UnxTmIhBFA2n1nGHstGn1ljWlrQBRouDI17KDOwQ5OC57KUJQ
Junior Software Developer,Gleim,"Gainesville, FL","Our IT department develops vital products for our customers and provides top-notch technical support, in addition to developing and maintaining in-house…",Estimated: $52.5K - $66.5K a year,5 ,simplyhired.com/job/6V6mqbJ5lDqFOBnRKU9XHjIRVUsA-MngspyrruCr2GEaY5JDZuH2jQ
Java Developer - Recent Grads - Entry Level Positions,Learnkwik.com,"Chicago, IL","Conduct software analysis, programming, testing and debugging. Graduates with BS/MS computer science degrees from leading universities.",Estimated: $70.8K - $89.6K a year,N/A,simplyhired.com/job/B8FvmI3qrKTkQv5tdFD20tLcY1yy5Sizx-OcKqTLK4Zg662JVMx5zA
Entry Level Full Stack Developer,"Antra, Inc","Chicago, IL","Must have a bachelor’s degree in engineering, computer science or related field, or the equivalent combination of education, professional training, and work…","Estimated: $60,000 - $70,000 a year",4.5 ,simplyhired.com/job/guQzdYN2IaaZJP8KCCfXch5U5Cnqg6--kgfoHICVgK8uOdhg6BVeOw
Software Engineer,Radiant,"El Segundo, CA","Bachelor’s degree in computer science or similar field from an accredited institution . Control Engine development - used for hardware integration, drivers for…","Estimated: From $90,000 a year",N/A,simplyhired.com/job/68qocveoqhXy3TNo2I_gsv9SXVY9Xe3Ai0DPoufgO6-K5UbN0yyyWQ
Entry Level Web Developer,WORKFORCE INC,"Tracy, CA",This job is an excellent fit for individuals with science backgrounds interested in entering a programming field. Bachelor’s degree in biology or related field.,"Estimated: $60,000 - $80,000 a year",4.3 ,simplyhired.com/job/Vy70pgbIcg_0Et_3aSGi3YAjeOk54DiK7GMau9yJ__HCWQQeIhRtNw
Entry Level Software Engineer - 2023 College Grad,BAE Systems,"Nashua, NH","Bachelor's degree in CS (Computer Science), CE (Computer Engineering), or other scientific degree with suitable software engineering content granted in current…",N/A,3.8 ,simplyhired.com/job/hAM8Y1-5vUKmEgI73-vmCfLvIoBEFxbXimbqb4KR8TKUGgKhDwpaww
Senior Embedded Software Engineer,Raytheon Missiles & Defense,"Tewksbury, MA","Typically requires a Bachelor’s degree in Computer Science, Computer Engineering, Electrical Engineering, Software Engineering, or related field and 5+ years of…",N/A,3.7 ,simplyhired.com/job/vppI_i7GTbcUSE_kv573GtexOvKlmfwmPns4_wRtmcwq_CJaft424w
"Senior Software Configuration Management Engineer - Tewksbury, MA",Raytheon Missiles & Defense,"Tewksbury, MA","Proven experience with configuration management concepts and implementation. SWCM provides innovative solutions through automation, continuous improvement, and…",N/A,3.7 ,simplyhired.com/job/LYPsMGx6K3YxgpFPs_hGGnjOIM7ByuzEu5E4F0k52EkoABNplK6s9Q
Entry-Level Java Developer,TRESUME,"Ashburn, VA","Be a self-starter with an ability to troubleshoot In this role as Java Developer, you will be developing solutions to achieve business needs and will be…","Estimated: $60,000 - $65,000 a year",N/A,simplyhired.com/job/fQs-p3ISOGiOhSEJaDZoakPhfqAOYp0aCy6lroC1GWvulVmMlRO1ZA
SOFTWARE ENGINEER C++ ENTRY LEVEL (US) - REMOTE,XR Trading LLC,Remote,"Bachelor’s degree in a technical area such as computer science, engineering or math. Using modern software tools in an agile project management process with a…",Estimated: $66.3K - $83.9K a year,4.2 ,simplyhired.com/job/fCfSa6AUlRPdzFkcpAe4HBu4L4AQ1R-1IJG2J56KP7hTOzeazEmJZw
Software Engineer - Front-End,Avela,Remote,"Design Intuitive Experiences: Partner with our designer(s) to design and develop beautiful, intuitive, and functional user interfaces and experiences.",Estimated: $106K - $135K a year,3 ,simplyhired.com/job/VBqFmfHFAh19XiaYQGdKeszs8kkH5h6KvjQrMjrwUTrTn99FquOAmg
Entry Level ERP Software Engineer,BRIJ IMAGE & INFORMATION INC,United States,The ERP Software Engineer is an entry-level position with a clearly defined career path. Delivering stress-free engagements because our team members are well…,Estimated: $73.5K - $93K a year,N/A,simplyhired.com/job/pz8nOEGW4FRlwIAyAtENnwbkOrE8JgdAZ_E2aqWyPLF8vlrQVlJb4A
Full Stack Developer,"Volumatic, Inc.",Remote,Experienced OPT’s and Candidates looking for H1B Transfer and GC filing can also apply immediately. We sponsor H1B visa for qualified candidates with no…,Estimated: $104K - $132K a year,N/A,simplyhired.com/job/9FHM3Nt00BDjLR_cP9yURmd--bDEyg_5zIIgcPbGuQkD4cCCj_1iiQ
Senior Software Engineer - C2 Infrastructure,Raytheon Missiles & Defense,"Fullerton, CA","Typically requires Bachelor’s in in Computer Engineering, Computer Science, Software Engineering, Mathematics, Physics, Electrical Engineering, or other related…",N/A,3.7 ,simplyhired.com/job/OlD9SGc3wbQWS3GRLiH9sYs6YP_2wKJg8cyPXqE5hMge5IsAtBSyRg
Senior Software Integration Engineer,Raytheon Missiles & Defense,"Marlborough, MA","Our 2000+ software engineers design, develop, and build innovative solutions for our customers. Senior Software Engineering positions include working on a…",N/A,3.7 ,simplyhired.com/job/KM2bwsqr3cb5Sv2idu4WGBE_rg3eHbfXGkRbpHJXHR4YlGgSNmlBbg
